"region_id","cost_ppl","scenario_year","data_year","max_cost_ppl","status_inv","max_status_inv","status"
1,62.28,2014,2014,62.28,0,0.315992292870906,68.4007707129094
1,45.8,2015,2015,62.28,0.26461143224149,0.315992292870906,94.8619139370584
1,42.6,2016,2016,62.28,0.315992292870906,0.315992292870906,100
1,50.46,2017,2017,62.28,0.189788053949904,0.315992292870906,87.3795761078998
1,59.39,2018,2018,62.28,0.0464033397559409,0.315992292870906,73.0411046885035
2,62.28,2014,2014,62.28,0,0.315992292870906,68.4007707129094
2,45.8,2015,2015,62.28,0.26461143224149,0.315992292870906,94.8619139370584
2,42.6,2016,2016,62.28,0.315992292870906,0.315992292870906,100
2,50.46,2017,2017,62.28,0.189788053949904,0.315992292870906,87.3795761078998
2,59.39,2018,2018,62.28,0.0464033397559409,0.315992292870906,73.0411046885035
3,62.28,2014,2014,62.28,0,0.315992292870906,68.4007707129094
3,45.8,2015,2015,62.28,0.26461143224149,0.315992292870906,94.8619139370584
3,42.6,2016,2016,62.28,0.315992292870906,0.315992292870906,100
3,50.46,2017,2017,62.28,0.189788053949904,0.315992292870906,87.3795761078998
3,59.39,2018,2018,62.28,0.0464033397559409,0.315992292870906,73.0411046885035
4,62.28,2014,2014,62.28,0,0.315992292870906,68.4007707129094
4,45.8,2015,2015,62.28,0.26461143224149,0.315992292870906,94.8619139370584
4,42.6,2016,2016,62.28,0.315992292870906,0.315992292870906,100
4,50.46,2017,2017,62.28,0.189788053949904,0.315992292870906,87.3795761078998
4,59.39,2018,2018,62.28,0.0464033397559409,0.315992292870906,73.0411046885035
5,62.28,2014,2014,62.28,0,0.315992292870906,68.4007707129094
5,45.8,2015,2015,62.28,0.26461143224149,0.315992292870906,94.8619139370584
5,42.6,2016,2016,62.28,0.315992292870906,0.315992292870906,100
5,50.46,2017,2017,62.28,0.189788053949904,0.315992292870906,87.3795761078998
5,59.39,2018,2018,62.28,0.0464033397559409,0.315992292870906,73.0411046885035
6,62.28,2014,2014,62.28,0,0.315992292870906,68.4007707129094
6,45.8,2015,2015,62.28,0.26461143224149,0.315992292870906,94.8619139370584
6,42.6,2016,2016,62.28,0.315992292870906,0.315992292870906,100
6,50.46,2017,2017,62.28,0.189788053949904,0.315992292870906,87.3795761078998
6,59.39,2018,2018,62.28,0.0464033397559409,0.315992292870906,73.0411046885035
