"rgn_id","year","catch_prop"
1,2014,NA
1,2015,NA
1,2016,NA
1,2017,1
1,2018,1
1,2019,NA
2,2014,0.108516039
2,2015,0.220302865
2,2016,0.224027245
2,2017,0.209258635
2,2018,0.214486799
2,2019,0.217159521
3,2014,0.236455916
3,2015,0.219623045
3,2016,0.221655296
3,2017,0.203414013
3,2018,0.184576305
3,2019,0.197977792
4,2014,0.971262244
4,2015,0.677417083
4,2016,0.501709402
4,2017,0.414312873
4,2018,0.369958538
4,2019,0.394132653
5,2014,0.127179742
5,2015,0.089128965
5,2016,0.101815507
5,2017,0.108758561
5,2018,0.163599506
5,2019,0.190859849
6,2014,0.095187923
6,2015,0.096940738
6,2016,0.105026476
6,2017,0.084569928
6,2018,0.088808141
6,2019,0.112157266
