"rgn_id","year","area_km2_m"
"1",2010,475.430619
"2",2010,56.0632144
"3",2010,101.6122178
"4",2010,265.0573602
"5",2010,42.4277828
"6",2010,20.394964
"1",2011,475.430619
"2",2011,56.0632144
"3",2011,101.6122178
"4",2011,265.0573602
"5",2011,42.4277828
"6",2011,20.394964
"1",2012,475.430619
"2",2012,56.0632144
"3",2012,101.6122178
"4",2012,265.0573602
"5",2012,42.4277828
"6",2012,20.394964
"1",2013,475.430619
"2",2013,56.0632144
"3",2013,248.2430971
"4",2013,293.1581057
"5",2013,287.3998631
"6",2013,43.456114
"1",2014,475.430619
"2",2014,56.0632144
"3",2014,248.2430971
"4",2014,293.1581057
"5",2014,287.3998631
"6",2014,43.456114
"1",2015,475.430619
"2",2015,56.0632144
"3",2015,248.2430971
"4",2015,293.1581057
"5",2015,287.3998631
"6",2015,43.456114
"1",2016,475.430619
"2",2016,185.2943144
"3",2016,554.0471871
"4",2016,293.1581057
"5",2016,287.3998631
"6",2016,43.456114
"1",2017,475.430619
"2",2017,185.2943144
"3",2017,1273.4972871
"4",2017,293.1581057
"5",2017,525.6423431
"6",2017,161.988114
"1",2018,475.430619
"2",2018,185.2943144
"3",2018,1273.4972871
"4",2018,293.1581057
"5",2018,525.6423431
"6",2018,161.988114
