"rgn_id","year","area_km2_t","area_km2_t_gf"
1,1957,5.57016456163025,5.57016456163025
2,1957,0,0
3,1957,0,0
4,1957,0,0
5,1957,0,0
6,1957,0,0
1,1958,NA,5.57016456163025
2,1958,NA,0
3,1958,NA,0
4,1958,NA,0
5,1958,NA,0
6,1958,NA,0
1,1959,5.57016456163025,5.57016456163025
2,1959,0.320286561122894,0.320286561122894
3,1959,370.759161287413,370.759161287413
4,1959,0,0
5,1959,0,0
6,1959,0,0
1,1960,5.57016456163025,5.57016456163025
2,1960,67.3597318189754,67.3597318189754
3,1960,370.759161287413,370.759161287413
4,1960,0,0
5,1960,144.612451151055,144.612451151055
6,1960,24.4297656041708,24.4297656041708
1,1961,NA,5.57016456163025
2,1961,NA,67.3597318189754
3,1961,NA,370.759161287413
4,1961,NA,0
5,1961,NA,144.612451151055
6,1961,NA,24.4297656041708
1,1962,NA,5.57016456163025
2,1962,NA,67.3597318189754
3,1962,NA,370.759161287413
4,1962,NA,0
5,1962,NA,144.612451151055
6,1962,NA,24.4297656041708
1,1963,5.57016456163025,5.57016456163025
2,1963,67.3597318189754,67.3597318189754
3,1963,370.759161287413,370.759161287413
4,1963,0,0
5,1963,144.612451151055,144.612451151055
6,1963,63.0052065936003,63.0052065936003
1,1964,NA,5.57016456163025
2,1964,NA,67.3597318189754
3,1964,NA,370.759161287413
4,1964,NA,0
5,1964,NA,144.612451151055
6,1964,NA,63.0052065936003
1,1965,NA,5.57016456163025
2,1965,NA,67.3597318189754
3,1965,NA,370.759161287413
4,1965,NA,0
5,1965,NA,144.612451151055
6,1965,NA,63.0052065936003
1,1966,NA,5.57016456163025
2,1966,NA,67.3597318189754
3,1966,NA,370.759161287413
4,1966,NA,0
5,1966,NA,144.612451151055
6,1966,NA,63.0052065936003
1,1967,NA,5.57016456163025
2,1967,NA,67.3597318189754
3,1967,NA,370.759161287413
4,1967,NA,0
5,1967,NA,144.612451151055
6,1967,NA,63.0052065936003
1,1968,NA,5.57016456163025
2,1968,NA,67.3597318189754
3,1968,NA,370.759161287413
4,1968,NA,0
5,1968,NA,144.612451151055
6,1968,NA,63.0052065936003
1,1969,NA,5.57016456163025
2,1969,NA,67.3597318189754
3,1969,NA,370.759161287413
4,1969,NA,0
5,1969,NA,144.612451151055
6,1969,NA,63.0052065936003
1,1970,NA,5.57016456163025
2,1970,NA,67.3597318189754
3,1970,NA,370.759161287413
4,1970,NA,0
5,1970,NA,144.612451151055
6,1970,NA,63.0052065936003
1,1971,17.6550916270447,17.6550916270447
2,1971,67.3597318189754,67.3597318189754
3,1971,370.759161287413,370.759161287413
4,1971,0,0
5,1971,144.612451151055,144.612451151055
6,1971,63.0052065936003,63.0052065936003
1,1972,NA,17.6550916270447
2,1972,NA,67.3597318189754
3,1972,NA,370.759161287413
4,1972,NA,0
5,1972,NA,144.612451151055
6,1972,NA,63.0052065936003
1,1973,17.6550916270447,17.6550916270447
2,1973,67.3597318189754,67.3597318189754
3,1973,370.759161287413,370.759161287413
4,1973,0,0
5,1973,144.612451151055,144.612451151055
6,1973,63.0052065936003,63.0052065936003
1,1974,17.6550916270447,17.6550916270447
2,1974,67.3597318189754,67.3597318189754
3,1974,370.759161287413,370.759161287413
4,1974,21.9818672510843,21.9818672510843
5,1974,144.612451151055,144.612451151055
6,1974,63.0052065936003,63.0052065936003
1,1975,NA,17.6550916270447
2,1975,NA,67.3597318189754
3,1975,NA,370.759161287413
4,1975,NA,21.9818672510843
5,1975,NA,144.612451151055
6,1975,NA,63.0052065936003
1,1976,17.6550916270447,17.6550916270447
2,1976,67.3597318189754,67.3597318189754
3,1976,370.759402687744,370.759402687744
4,1976,21.9818672510843,21.9818672510843
5,1976,144.612451151055,144.612451151055
6,1976,63.0052065936003,63.0052065936003
1,1977,17.6550916270447,17.6550916270447
2,1977,67.3597318189754,67.3597318189754
3,1977,370.759402687744,370.759402687744
4,1977,21.9818672510843,21.9818672510843
5,1977,144.612451151055,144.612451151055
6,1977,63.0052065936003,63.0052065936003
1,1978,17.6550916270447,17.6550916270447
2,1978,67.3597318189754,67.3597318189754
3,1978,370.759402687744,370.759402687744
4,1978,21.9818672510843,21.9818672510843
5,1978,144.613625663046,144.613625663046
6,1978,63.0052065936003,63.0052065936003
1,1979,NA,17.6550916270447
2,1979,NA,67.3597318189754
3,1979,NA,370.759402687744
4,1979,NA,21.9818672510843
5,1979,NA,144.613625663046
6,1979,NA,63.0052065936003
1,1980,NA,17.6550916270447
2,1980,NA,67.3597318189754
3,1980,NA,370.759402687744
4,1980,NA,21.9818672510843
5,1980,NA,144.613625663046
6,1980,NA,63.0052065936003
1,1981,NA,17.6550916270447
2,1981,NA,67.3597318189754
3,1981,NA,370.759402687744
4,1981,NA,21.9818672510843
5,1981,NA,144.613625663046
6,1981,NA,63.0052065936003
1,1982,17.6550916270447,17.6550916270447
2,1982,67.3597318189754,67.3597318189754
3,1982,370.759402687744,370.759402687744
4,1982,21.9818672510843,21.9818672510843
5,1982,144.613625663046,144.613625663046
6,1982,63.0052065936003,63.0052065936003
1,1983,18.8963644582367,18.8963644582367
2,1983,67.3597318189754,67.3597318189754
3,1983,370.759402687744,370.759402687744
4,1983,21.9818672510843,21.9818672510843
5,1983,144.613625663046,144.613625663046
6,1983,63.0052065936003,63.0052065936003
1,1984,20.0746282357254,20.0746282357254
2,1984,67.3597318189754,67.3597318189754
3,1984,370.820528255163,370.820528255163
4,1984,21.9818672510843,21.9818672510843
5,1984,144.617222906359,144.617222906359
6,1984,63.8533233365202,63.8533233365202
