rgn_id,year,pressure_score
1,2003,0.018027077
1,2004,0.025951949
1,2005,0.00997893
1,2006,0
1,2007,0
1,2008,0
1,2009,0
1,2010,0
1,2011,0
1,2012,0
1,2013,0
1,2014,0
1,2015,0
1,2016,0
2,2003,0.018027077
2,2004,0.025951949
2,2005,0.00997893
2,2006,0
2,2007,0
2,2008,0
2,2009,0
2,2010,0
2,2011,0
2,2012,0
2,2013,0
2,2014,0
2,2015,0
2,2016,0
3,2003,0.018027077
3,2004,0.025951949
3,2005,0.00997893
3,2006,0
3,2007,0
3,2008,0
3,2009,0
3,2010,0
3,2011,0
3,2012,0
3,2013,0
3,2014,0
3,2015,0
3,2016,0
4,2003,0.018027077
4,2004,0.025951949
4,2005,0.00997893
4,2006,0
4,2007,0
4,2008,0
4,2009,0
4,2010,0
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
5,2003,0.018027077
5,2004,0.025951949
5,2005,0.00997893
5,2006,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
6,2003,0.018027077
6,2004,0.025951949
6,2005,0.00997893
6,2006,0
6,2007,0
6,2008,0
6,2009,0
6,2010,0
6,2011,0
6,2012,0
6,2013,0
6,2014,0
6,2015,0
6,2016,0
