rgn_id,taxa_code,year,tonnes
1,Atlantic cod_630,2001,15
1,Atlantic cod_630,2002,0
1,Atlantic cod_630,2003,0
1,Atlantic cod_630,2004,8
1,Atlantic cod_630,2005,69
1,Atlantic cod_630,2006,543
1,Atlantic cod_630,2007,1111
1,Atlantic cod_630,2008,1822
1,Atlantic cod_630,2009,0
1,Atlantic cod_630,2010,0.7
1,Atlantic cod_630,2011,0
1,Atlantic cod_630,2012,0
1,Atlantic cod_630,2013,0
1,Atlantic cod_630,2014,0
1,Atlantic cod_630,2015,0
1,Atlantic halibut_631,1999,4
1,Atlantic halibut_631,2000,1
1,Atlantic halibut_631,2001,80
1,Atlantic halibut_631,2002,187
1,Atlantic halibut_631,2003,187
1,Atlantic halibut_631,2004,187
1,Atlantic halibut_631,2005,272
1,Atlantic halibut_631,2006,233
1,Atlantic halibut_631,2007,147
1,Atlantic halibut_631,2008,206
1,Atlantic halibut_631,2009,189
1,Atlantic halibut_631,2010,139
1,Atlantic halibut_631,2011,83.1
1,Atlantic halibut_631,2012,73
1,Atlantic halibut_631,2013,56
1,Atlantic halibut_631,2014,66
1,Atlantic halibut_631,2015,65
1,Atlantic salmon_632,1970,244
1,Atlantic salmon_632,1971,216
1,Atlantic salmon_632,1972,213
1,Atlantic salmon_632,1973,401
1,Atlantic salmon_632,1974,372
1,Atlantic salmon_632,1975,393
1,Atlantic salmon_632,1976,209
1,Atlantic salmon_632,1977,115
1,Atlantic salmon_632,1978,378
1,Atlantic salmon_632,1979,520
1,Atlantic salmon_632,1980,598
1,Atlantic salmon_632,1981,1133
1,Atlantic salmon_632,1982,2152
1,Atlantic salmon_632,1983,2536
1,Atlantic salmon_632,1984,3912
1,Atlantic salmon_632,1985,6921
1,Atlantic salmon_632,1986,10337
1,Atlantic salmon_632,1987,12721
1,Atlantic salmon_632,1988,17951
1,Atlantic salmon_632,1989,28603
1,Atlantic salmon_632,1990,32004
1,Atlantic salmon_632,1991,40657
1,Atlantic salmon_632,1992,36302
1,Atlantic salmon_632,1993,48791
1,Atlantic salmon_632,1994,64266
1,Atlantic salmon_632,1995,70320
1,Atlantic salmon_632,1996,83342
1,Atlantic salmon_632,1997,99422
1,Atlantic salmon_632,1998,110917
1,Atlantic salmon_632,1999,126686
1,Atlantic salmon_632,2000,128959
1,Atlantic salmon_632,2001,138519
1,Atlantic salmon_632,2002,145609
1,Atlantic salmon_632,2003,145609
1,Atlantic salmon_632,2004,158099
1,Atlantic salmon_632,2005,129823
1,Atlantic salmon_632,2006,131973
1,Atlantic salmon_632,2007,130104
1,Atlantic salmon_632,2008,128744
1,Atlantic salmon_632,2009,144654
1,Atlantic salmon_632,2010,154625
1,Atlantic salmon_632,2011,158305
1,Atlantic salmon_632,2012,162543
1,Atlantic salmon_632,2013,163512
1,Atlantic salmon_632,2014,179391
1,Atlantic salmon_632,2015,172137
1,Blue mussel_633,1984,1003
1,Blue mussel_633,1985,1204
1,Blue mussel_633,1986,1561
1,Blue mussel_633,1987,2185
1,Blue mussel_633,1988,2124
1,Blue mussel_633,1989,2278
1,Blue mussel_633,1990,2044
1,Blue mussel_633,1991,4826
1,Blue mussel_633,1992,3880
1,Blue mussel_633,1993,4211
1,Blue mussel_633,1994,4017
1,Blue mussel_633,1995,5801
1,Blue mussel_633,1996,8347
1,Blue mussel_633,1997,13127
1,Blue mussel_633,1998,8956
1,Blue mussel_633,1999,9535
1,Blue mussel_633,2000,11107
