rgn_id,year,resilience.score
1,2011,0.243863248
1,2012,0.285037553
1,2013,0.326094368
1,2014,0.596412332
1,2015,0.596418091
1,2016,0.642021289
1,2017,0.868660809
1,2018,0.868660809
2,2011,0.243863248
2,2012,0.285037553
2,2013,0.326094368
2,2014,0.596412332
2,2015,0.596418091
2,2016,0.642021289
2,2017,0.868660809
2,2018,0.868660809
3,2011,0.243863248
3,2012,0.285037553
3,2013,0.326094368
3,2014,0.596412332
3,2015,0.596418091
3,2016,0.642021289
3,2017,0.868660809
3,2018,0.868660809
4,2011,0.243863248
4,2012,0.285037553
4,2013,0.326094368
4,2014,0.596412332
4,2015,0.596418091
4,2016,0.642021289
4,2017,0.868660809
4,2018,0.868660809
5,2011,0.243863248
5,2012,0.285037553
5,2013,0.326094368
5,2014,0.596412332
5,2015,0.596418091
5,2016,0.642021289
5,2017,0.868660809
5,2018,0.868660809
6,2011,0.243863248
6,2012,0.285037553
6,2013,0.326094368
6,2014,0.596412332
6,2015,0.596418091
6,2016,0.642021289
6,2017,0.868660809
6,2018,0.868660809
