"rgn_id","year","health","habitat"
1,2007,0.830882352941177,"saltmarsh"
1,2008,0.830882352941177,"saltmarsh"
1,2009,0.830882352941177,"saltmarsh"
1,2010,0.830882352941177,"saltmarsh"
1,2011,0.845588235294118,"saltmarsh"
1,2012,0.850490196078431,"saltmarsh"
1,2013,0.860294117647059,"saltmarsh"
1,2014,0.860294117647059,"saltmarsh"
1,2015,0.904411764705882,"saltmarsh"
1,2016,0.904411764705882,"saltmarsh"
1,2017,0.904411764705882,"saltmarsh"
2,2007,0.85,"saltmarsh"
2,2008,0.85,"saltmarsh"
2,2009,0.85,"saltmarsh"
2,2010,0.85,"saltmarsh"
2,2011,0.85,"saltmarsh"
2,2012,0.9,"saltmarsh"
2,2013,0.9,"saltmarsh"
2,2014,0.9,"saltmarsh"
2,2015,0.9,"saltmarsh"
2,2016,0.9,"saltmarsh"
2,2017,0.9,"saltmarsh"
3,2007,1,"saltmarsh"
3,2008,1,"saltmarsh"
3,2009,1,"saltmarsh"
3,2010,0.923076923076923,"saltmarsh"
3,2011,0.958333333333333,"saltmarsh"
3,2012,0.958333333333333,"saltmarsh"
3,2013,0.958333333333333,"saltmarsh"
3,2014,0.989583333333333,"saltmarsh"
3,2015,0.989583333333333,"saltmarsh"
3,2016,0.989583333333333,"saltmarsh"
3,2017,0.9375,"saltmarsh"
4,2007,1,"saltmarsh"
4,2008,1,"saltmarsh"
4,2009,1,"saltmarsh"
4,2010,1,"saltmarsh"
4,2011,1,"saltmarsh"
4,2012,1,"saltmarsh"
4,2013,1,"saltmarsh"
4,2014,1,"saltmarsh"
4,2015,1,"saltmarsh"
4,2016,1,"saltmarsh"
4,2017,1,"saltmarsh"
5,2007,0.966666666666667,"saltmarsh"
5,2008,0.966666666666667,"saltmarsh"
5,2009,0.966666666666667,"saltmarsh"
5,2010,0.966666666666667,"saltmarsh"
5,2011,0.95,"saltmarsh"
5,2012,0.9875,"saltmarsh"
5,2013,0.9875,"saltmarsh"
5,2014,0.9875,"saltmarsh"
5,2015,0.9875,"saltmarsh"
5,2016,0.9875,"saltmarsh"
5,2017,0.875,"saltmarsh"
6,2007,0.844827586206897,"saltmarsh"
6,2008,0.85,"saltmarsh"
6,2009,0.925,"saltmarsh"
6,2010,0.975,"saltmarsh"
6,2011,0.975,"saltmarsh"
6,2012,0.975,"saltmarsh"
6,2013,0.975,"saltmarsh"
6,2014,0.975,"saltmarsh"
6,2015,0.975,"saltmarsh"
6,2016,0.975,"saltmarsh"
6,2017,0.975,"saltmarsh"
