"rgn_id","year","area_km2_t"
"1",2010,45.5202414
"2",2010,36.1242187
"3",2010,59.2072333
"4",2010,7.248193
"5",2010,13.2194489
"6",2010,12.0236745
"1",2011,45.5202414
"2",2011,36.1242187
"3",2011,59.2072333
"4",2011,7.248193
"5",2011,13.2194489
"6",2011,12.0236745
"1",2012,45.5202414
"2",2012,36.1242187
"3",2012,59.2072333
"4",2012,7.248193
"5",2012,13.2194489
"6",2012,12.0236745
"1",2013,45.5202414
"2",2013,36.1242187
"3",2013,59.3673966
"4",2013,8.2663831
"5",2013,13.2507322
"6",2013,12.0662645
"1",2014,45.5202414
"2",2014,36.1242187
"3",2014,59.3673966
"4",2014,8.2663831
"5",2014,13.2507322
"6",2014,12.0662645
"1",2015,45.5202414
"2",2015,36.1242187
"3",2015,59.3673966
"4",2015,8.2663831
"5",2015,13.2507322
"6",2015,12.0662645
"1",2016,45.5202414
"2",2016,36.1591731
"3",2016,59.4714552
"4",2016,8.2663831
"5",2016,13.2507322
"6",2016,12.0662645
"1",2017,45.5202414
"2",2017,36.1591731
"3",2017,59.67141
"4",2017,8.2663831
"5",2017,13.2532466
"6",2017,12.0719999
"1",2018,45.5202414
"2",2018,36.1591731
"3",2018,59.67141
"4",2018,8.2663831
"5",2018,13.2532466
"6",2018,12.0719999
