"rgn_id","year","area_km2_m"
"1",2010,25.5007874
"2",2010,683.0823833
"3",2010,464.2193829
"4",2010,148.6330392
"5",2010,161.0645091
"6",2010,67.0554598
"1",2011,25.5007874
"2",2011,683.0823833
"3",2011,464.2193829
"4",2011,148.6330392
"5",2011,161.0645091
"6",2011,67.0554598
"1",2012,25.5007874
"2",2012,683.0823833
"3",2012,464.2193829
"4",2012,148.6330392
"5",2012,161.0645091
"6",2012,67.0554598
"1",2013,25.5007874
"2",2013,683.0823833
"3",2013,464.2193829
"4",2013,148.6330392
"5",2013,161.0645091
"6",2013,67.0554598
"1",2014,25.5007874
"2",2014,683.0823833
"3",2014,464.2193829
"4",2014,148.6330392
"5",2014,161.0645091
"6",2014,67.0554598
"1",2015,187.6837874
"2",2015,683.0823833
"3",2015,464.2193829
"4",2015,148.6330392
"5",2015,161.0645091
"6",2015,67.0554598
"1",2016,187.6837874
"2",2016,683.0823833
"3",2016,464.2193829
"4",2016,148.6330392
"5",2016,161.0645091
"6",2016,67.0570446
"1",2017,187.6837874
"2",2017,683.0823833
"3",2017,464.2193829
"4",2017,148.6330392
"5",2017,161.0645091
"6",2017,67.0570446
"1",2018,187.6837874
"2",2018,683.0823833
"3",2018,464.2193829
"4",2018,148.6330392
"5",2018,161.0645091
"6",2018,67.0570446
