"rgn_id","habitat","year","km2"
1,"cms",2012,583.229
1,"cms",2013,583.229
1,"cms",2014,583.229
1,"cms",2015,583.229
1,"cms",2016,583.229
1,"cms",2017,583.229
1,"cms",2018,583.229
2,"cms",2012,2551.51
2,"cms",2013,2551.51
2,"cms",2014,2551.51
2,"cms",2015,2551.51
2,"cms",2016,2551.51
2,"cms",2017,2551.51
2,"cms",2018,2551.51
3,"cms",2012,5781.51
3,"cms",2013,5781.51
3,"cms",2014,5781.51
3,"cms",2015,5781.51
3,"cms",2016,5781.51
3,"cms",2017,5781.51
3,"cms",2018,5781.51
4,"cms",2012,2012.41
4,"cms",2013,2012.41
4,"cms",2014,2012.41
4,"cms",2015,2012.41
4,"cms",2016,2012.41
4,"cms",2017,2012.41
4,"cms",2018,2012.41
5,"cms",2012,1405.13
5,"cms",2013,1405.13
5,"cms",2014,1405.13
5,"cms",2015,1405.13
5,"cms",2016,1405.13
5,"cms",2017,1405.13
5,"cms",2018,1405.13
6,"cms",2012,1341.76
6,"cms",2013,1341.76
6,"cms",2014,1341.76
6,"cms",2015,1341.76
6,"cms",2016,1341.76
6,"cms",2017,1341.76
6,"cms",2018,1341.76
