"rgn_id","habitat","year","km2"
"1","rr","2012","263.775373"
"1","rr","2013","263.775373"
"1","rr","2014","263.775373"
"1","rr","2015","263.775373"
"1","rr","2016","263.775373"
"1","rr","2017","263.775373"
"1","rr","2018","263.775373"
"2","rr","2012","563.1170225"
"2","rr","2013","563.1170225"
"2","rr","2014","563.1170225"
"2","rr","2015","563.1170225"
"2","rr","2016","563.1170225"
"2","rr","2017","563.1170225"
"2","rr","2018","563.1170225"
"3","rr","2012","87.10466538"
"3","rr","2013","87.10466538"
"3","rr","2014","87.10466538"
"3","rr","2015","87.10466538"
"3","rr","2016","87.10466538"
"3","rr","2017","87.10466538"
"3","rr","2018","87.10466538"
"4","rr","2012","0"
"4","rr","2013","0"
"4","rr","2014","0"
"4","rr","2015","0"
"4","rr","2016","0"
"4","rr","2017","0"
"4","rr","2018","0"
"5","rr","2012","0"
"5","rr","2013","0"
"5","rr","2014","0"
"5","rr","2015","0"
"5","rr","2016","0"
"5","rr","2017","0"
"5","rr","2018","0"
"6","rr","2012","8.92179924"
"6","rr","2013","8.92179924"
"6","rr","2014","8.92179924"
"6","rr","2015","8.92179924"
"6","rr","2016","8.92179924"
"6","rr","2017","8.92179924"
"6","rr","2018","8.92179924"
