rgn_id,stock_id,year,bbmsy
1,Aequipecten opercularis ,2010,1.451485693
1,Aequipecten opercularis ,2011,1.390799522
1,Aequipecten opercularis ,2012,1.309629988
1,Aequipecten opercularis ,2013,1.204119622
1,Aequipecten opercularis ,2014,1.091622
1,Aequipecten opercularis ,2015,0.995931559
2,Aequipecten opercularis ,2010,1.451485693
2,Aequipecten opercularis ,2011,1.390799522
2,Aequipecten opercularis ,2012,1.309629988
2,Aequipecten opercularis ,2013,1.204119622
2,Aequipecten opercularis ,2014,1.091622
2,Aequipecten opercularis ,2015,0.995931559
3,Aequipecten opercularis ,2010,1.451485693
3,Aequipecten opercularis ,2011,1.390799522
3,Aequipecten opercularis ,2012,1.309629988
3,Aequipecten opercularis ,2013,1.204119622
3,Aequipecten opercularis ,2014,1.091622
3,Aequipecten opercularis ,2015,0.995931559
4,Aequipecten opercularis ,2010,1.451485693
4,Aequipecten opercularis ,2011,1.390799522
4,Aequipecten opercularis ,2012,1.309629988
4,Aequipecten opercularis ,2013,1.204119622
4,Aequipecten opercularis ,2014,1.091622
4,Aequipecten opercularis ,2015,0.995931559
5,Aequipecten opercularis ,2010,1.451485693
5,Aequipecten opercularis ,2011,1.390799522
5,Aequipecten opercularis ,2012,1.309629988
5,Aequipecten opercularis ,2013,1.204119622
5,Aequipecten opercularis ,2014,1.091622
5,Aequipecten opercularis ,2015,0.995931559
6,Aequipecten opercularis ,2010,1.451485693
6,Aequipecten opercularis ,2011,1.390799522
6,Aequipecten opercularis ,2012,1.309629988
6,Aequipecten opercularis ,2013,1.204119622
6,Aequipecten opercularis ,2014,1.091622
6,Aequipecten opercularis ,2015,0.995931559
1,Alepocephalus bairdii ,2010,0.380568935
1,Alepocephalus bairdii ,2011,0.357112643
1,Alepocephalus bairdii ,2012,0.321430199
1,Alepocephalus bairdii ,2013,0.308284173
1,Alepocephalus bairdii ,2014,0.313441609
1,Alepocephalus bairdii ,2015,0.33776024
2,Alepocephalus bairdii ,2010,0.380568935
2,Alepocephalus bairdii ,2011,0.357112643
2,Alepocephalus bairdii ,2012,0.321430199
2,Alepocephalus bairdii ,2013,0.308284173
2,Alepocephalus bairdii ,2014,0.313441609
2,Alepocephalus bairdii ,2015,0.33776024
3,Alepocephalus bairdii ,2010,0.380568935
3,Alepocephalus bairdii ,2011,0.357112643
3,Alepocephalus bairdii ,2012,0.321430199
3,Alepocephalus bairdii ,2013,0.308284173
3,Alepocephalus bairdii ,2014,0.313441609
3,Alepocephalus bairdii ,2015,0.33776024
4,Alepocephalus bairdii ,2010,0.380568935
4,Alepocephalus bairdii ,2011,0.357112643
4,Alepocephalus bairdii ,2012,0.321430199
4,Alepocephalus bairdii ,2013,0.308284173
4,Alepocephalus bairdii ,2014,0.313441609
4,Alepocephalus bairdii ,2015,0.33776024
5,Alepocephalus bairdii ,2010,0.380568935
5,Alepocephalus bairdii ,2011,0.357112643
5,Alepocephalus bairdii ,2012,0.321430199
5,Alepocephalus bairdii ,2013,0.308284173
5,Alepocephalus bairdii ,2014,0.313441609
5,Alepocephalus bairdii ,2015,0.33776024
6,Alepocephalus bairdii ,2010,0.380568935
6,Alepocephalus bairdii ,2011,0.357112643
6,Alepocephalus bairdii ,2012,0.321430199
6,Alepocephalus bairdii ,2013,0.308284173
6,Alepocephalus bairdii ,2014,0.313441609
6,Alepocephalus bairdii ,2015,0.33776024
1,Anarhichas lupus ,2010,0.426253977
1,Anarhichas lupus ,2011,0.387638948
1,Anarhichas lupus ,2012,0.366798987
1,Anarhichas lupus ,2013,0.362940981
1,Anarhichas lupus ,2014,0.368937637
1,Anarhichas lupus ,2015,0.391339942
2,Anarhichas lupus ,2010,0.426253977
2,Anarhichas lupus ,2011,0.387638948
2,Anarhichas lupus ,2012,0.366798987
2,Anarhichas lupus ,2013,0.362940981
2,Anarhichas lupus ,2014,0.368937637
2,Anarhichas lupus ,2015,0.391339942
3,Anarhichas lupus ,2010,0.426253977
3,Anarhichas lupus ,2011,0.387638948
3,Anarhichas lupus ,2012,0.366798987
3,Anarhichas lupus ,2013,0.362940981
3,Anarhichas lupus ,2014,0.368937637
3,Anarhichas lupus ,2015,0.391339942
4,Anarhichas lupus ,2010,0.426253977
4,Anarhichas lupus ,2011,0.387638948
4,Anarhichas lupus ,2012,0.366798987
4,Anarhichas lupus ,2013,0.362940981
4,Anarhichas lupus ,2014,0.368937637
4,Anarhichas lupus ,2015,0.391339942
5,Anarhichas lupus ,2010,0.426253977
5,Anarhichas lupus ,2011,0.387638948
5,Anarhichas lupus ,2012,0.366798987
5,Anarhichas lupus ,2013,0.362940981
5,Anarhichas lupus ,2014,0.368937637
5,Anarhichas lupus ,2015,0.391339942
6,Anarhichas lupus ,2010,0.426253977
6,Anarhichas lupus ,2011,0.387638948
6,Anarhichas lupus ,2012,0.366798987
6,Anarhichas lupus ,2013,0.362940981
6,Anarhichas lupus ,2014,0.368937637
6,Anarhichas lupus ,2015,0.391339942
1,Anarhichas minor ,2010,1.52237876
1,Anarhichas minor ,2011,1.450331793
1,Anarhichas minor ,2012,1.361210936
1,Anarhichas minor ,2013,1.24121544
1,Anarhichas minor ,2014,1.129482542
1,Anarhichas minor ,2015,1.019500443
2,Anarhichas minor ,2010,1.52237876
2,Anarhichas minor ,2011,1.450331793
2,Anarhichas minor ,2012,1.361210936
2,Anarhichas minor ,2013,1.24121544
2,Anarhichas minor ,2014,1.129482542
2,Anarhichas minor ,2015,1.019500443
3,Anarhichas minor ,2010,1.52237876
3,Anarhichas minor ,2011,1.450331793
3,Anarhichas minor ,2012,1.361210936
3,Anarhichas minor ,2013,1.24121544
3,Anarhichas minor ,2014,1.129482542
3,Anarhichas minor ,2015,1.019500443
4,Anarhichas minor ,2010,1.52237876
4,Anarhichas minor ,2011,1.450331793
4,Anarhichas minor ,2012,1.361210936
4,Anarhichas minor ,2013,1.24121544
4,Anarhichas minor ,2014,1.129482542
4,Anarhichas minor ,2015,1.019500443
5,Anarhichas minor ,2010,1.52237876
5,Anarhichas minor ,2011,1.450331793
5,Anarhichas minor ,2012,1.361210936
5,Anarhichas minor ,2013,1.24121544
5,Anarhichas minor ,2014,1.129482542
5,Anarhichas minor ,2015,1.019500443
6,Anarhichas minor ,2010,1.52237876
6,Anarhichas minor ,2011,1.450331793
6,Anarhichas minor ,2012,1.361210936
6,Anarhichas minor ,2013,1.24121544
6,Anarhichas minor ,2014,1.129482542
6,Anarhichas minor ,2015,1.019500443
1,Aphanopus carbo ,2010,0.973026629
1,Aphanopus carbo ,2011,0.982772319
1,Aphanopus carbo ,2012,0.993855582
1,Aphanopus carbo ,2013,1.00862441
1,Aphanopus carbo ,2014,1.025484089
1,Aphanopus carbo ,2015,1.042958941
2,Aphanopus carbo ,2010,0.973026629
2,Aphanopus carbo ,2011,0.982772319
2,Aphanopus carbo ,2012,0.993855582
2,Aphanopus carbo ,2013,1.00862441
2,Aphanopus carbo ,2014,1.025484089
2,Aphanopus carbo ,2015,1.042958941
3,Aphanopus carbo ,2010,0.973026629
3,Aphanopus carbo ,2011,0.982772319
3,Aphanopus carbo ,2012,0.993855582
3,Aphanopus carbo ,2013,1.00862441
3,Aphanopus carbo ,2014,1.025484089
3,Aphanopus carbo ,2015,1.042958941
4,Aphanopus carbo ,2010,0.973026629
4,Aphanopus carbo ,2011,0.982772319
4,Aphanopus carbo ,2012,0.993855582
4,Aphanopus carbo ,2013,1.00862441
4,Aphanopus carbo ,2014,1.025484089
4,Aphanopus carbo ,2015,1.042958941
5,Aphanopus carbo ,2010,0.973026629
5,Aphanopus carbo ,2011,0.982772319
5,Aphanopus carbo ,2012,0.993855582
5,Aphanopus carbo ,2013,1.00862441
5,Aphanopus carbo ,2014,1.025484089
5,Aphanopus carbo ,2015,1.042958941
6,Aphanopus carbo ,2010,0.973026629
6,Aphanopus carbo ,2011,0.982772319
6,Aphanopus carbo ,2012,0.993855582
6,Aphanopus carbo ,2013,1.00862441
6,Aphanopus carbo ,2014,1.025484089
6,Aphanopus carbo ,2015,1.042958941
1,Aspitrigla cuculus ,2010,0.604409794
1,Aspitrigla cuculus ,2011,0.564518394
1,Aspitrigla cuculus ,2012,0.533178354
1,Aspitrigla cuculus ,2013,0.517838692
1,Aspitrigla cuculus ,2014,0.489564864
1,Aspitrigla cuculus ,2015,0.475900481
2,Aspitrigla cuculus ,2010,0.604409794
2,Aspitrigla cuculus ,2011,0.564518394
2,Aspitrigla cuculus ,2012,0.533178354
2,Aspitrigla cuculus ,2013,0.517838692
2,Aspitrigla cuculus ,2014,0.489564864
2,Aspitrigla cuculus ,2015,0.475900481
3,Aspitrigla cuculus ,2010,0.604409794
3,Aspitrigla cuculus ,2011,0.564518394
3,Aspitrigla cuculus ,2012,0.533178354
3,Aspitrigla cuculus ,2013,0.517838692
3,Aspitrigla cuculus ,2014,0.489564864
3,Aspitrigla cuculus ,2015,0.475900481
4,Aspitrigla cuculus ,2010,0.604409794
4,Aspitrigla cuculus ,2011,0.564518394
4,Aspitrigla cuculus ,2012,0.533178354
4,Aspitrigla cuculus ,2013,0.517838692
4,Aspitrigla cuculus ,2014,0.489564864
4,Aspitrigla cuculus ,2015,0.475900481
5,Aspitrigla cuculus ,2010,0.604409794
5,Aspitrigla cuculus ,2011,0.564518394
5,Aspitrigla cuculus ,2012,0.533178354
5,Aspitrigla cuculus ,2013,0.517838692
5,Aspitrigla cuculus ,2014,0.489564864
5,Aspitrigla cuculus ,2015,0.475900481
6,Aspitrigla cuculus ,2010,0.604409794
6,Aspitrigla cuculus ,2011,0.564518394
6,Aspitrigla cuculus ,2012,0.533178354
6,Aspitrigla cuculus ,2013,0.517838692
6,Aspitrigla cuculus ,2014,0.489564864
6,Aspitrigla cuculus ,2015,0.475900481
1,Boops boops ,2010,1.693098118
1,Boops boops ,2011,1.698059222
1,Boops boops ,2012,1.648758939
1,Boops boops ,2013,1.589344119
1,Boops boops ,2014,1.492436792
1,Boops boops ,2015,1.375551997
2,Boops boops ,2010,1.693098118
2,Boops boops ,2011,1.698059222
2,Boops boops ,2012,1.648758939
2,Boops boops ,2013,1.589344119
2,Boops boops ,2014,1.492436792
2,Boops boops ,2015,1.375551997
3,Boops boops ,2010,1.693098118
3,Boops boops ,2011,1.698059222
3,Boops boops ,2012,1.648758939
3,Boops boops ,2013,1.589344119
3,Boops boops ,2014,1.492436792
3,Boops boops ,2015,1.375551997
4,Boops boops ,2010,1.693098118
4,Boops boops ,2011,1.698059222
4,Boops boops ,2012,1.648758939
4,Boops boops ,2013,1.589344119
4,Boops boops ,2014,1.492436792
4,Boops boops ,2015,1.375551997
5,Boops boops ,2010,1.693098118
5,Boops boops ,2011,1.698059222
5,Boops boops ,2012,1.648758939
5,Boops boops ,2013,1.589344119
5,Boops boops ,2014,1.492436792
5,Boops boops ,2015,1.375551997
6,Boops boops ,2010,1.693098118
6,Boops boops ,2011,1.698059222
6,Boops boops ,2012,1.648758939
6,Boops boops ,2013,1.589344119
6,Boops boops ,2014,1.492436792
6,Boops boops ,2015,1.375551997
1,Brama brama ,2010,0.541191431
1,Brama brama ,2011,0.530774981
1,Brama brama ,2012,0.505332567
1,Brama brama ,2013,0.474693835
1,Brama brama ,2014,0.451900193
1,Brama brama ,2015,0.436954678
2,Brama brama ,2010,0.541191431
2,Brama brama ,2011,0.530774981
2,Brama brama ,2012,0.505332567
2,Brama brama ,2013,0.474693835
2,Brama brama ,2014,0.451900193
2,Brama brama ,2015,0.436954678
3,Brama brama ,2010,0.541191431
3,Brama brama ,2011,0.530774981
3,Brama brama ,2012,0.505332567
3,Brama brama ,2013,0.474693835
3,Brama brama ,2014,0.451900193
3,Brama brama ,2015,0.436954678
4,Brama brama ,2010,0.541191431
4,Brama brama ,2011,0.530774981
4,Brama brama ,2012,0.505332567
4,Brama brama ,2013,0.474693835
4,Brama brama ,2014,0.451900193
4,Brama brama ,2015,0.436954678
5,Brama brama ,2010,0.541191431
5,Brama brama ,2011,0.530774981
5,Brama brama ,2012,0.505332567
5,Brama brama ,2013,0.474693835
5,Brama brama ,2014,0.451900193
