year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1950,180,27,Aequipecten opercularis,Queen scallop,690314,1001.37729338869,Aequipecten_opercularis-27
1950,180,27,Alosa,Shads,500352,1.14055553352274,Alosa-27
1950,180,27,Anarhichadidae,"Wolffishes, wolfeels",400396,81.5902415643623,Anarhichadidae-27
1950,180,27,Anarhichas,Wolffishes,505897,306.248402066971,Anarhichas-27
1950,180,27,Anarhichas lupus,Atlantic wolffish,602501,238.206550120741,Anarhichas_lupus-27
1950,180,27,Anguilla anguilla,European eel,600035,296.73336286692,Anguilla_anguilla-27
1950,180,27,Argentina,Argentines,500147,0.488532176970353,Argentina-27
1950,180,27,Arnoglossus laterna,Mediterranean scaldfish,600041,63.6290311342546,Arnoglossus_laterna-27
1950,180,27,Asterias rubens,Red starfish,690324,537.968989432693,Asterias_rubens-27
1950,180,27,Balistes capriscus,Grey triggerfish,607327,0.19806193418607,Balistes_capriscus-27
1950,180,27,Balistidae,Triggerfishes,400445,13.8796334928422,Balistidae-27
1950,180,27,Batoidea,"Batoids, skates, rays, sawfishes",300063,4.3324942797381,Batoidea-27
1950,180,27,Belone belone,Garfish,600047,30.7743545445967,Belone_belone-27
1950,180,27,Bivalvia,Clams,290004,1523.88454250463,Bivalvia-27
1950,180,27,Brama brama,Atlantic pomfret,600391,68.9419352128684,Brama_brama-27
1950,180,27,Brosme brosme,Tusk,600051,682.296698197836,Brosme_brosme-27
1950,180,27,Buccinidae,Buccinidae,490021,1180.45799846895,Buccinidae-27
1950,180,27,Buccinum undatum,Whelk,690434,171.947642671248,Buccinum_undatum-27
1950,180,27,Cancer pagurus,Edible crab,690119,549.299057940568,Cancer_pagurus-27
1950,180,27,Capros aper,Boarfish,600054,0.140446260363567,Capros_aper-27
1950,180,27,Carangidae,"Jacks, pompanos",400314,525.631554463148,Carangidae-27
1950,180,27,Carcinus maenas,Green crab,690158,50.212554812604,Carcinus_maenas-27
1950,180,27,Cardiidae,Cockles,490058,4922.73857944925,Cardiidae-27
1950,180,27,Centroscymnus coelolepis,Portuguese dogfish,600662,806.2741489216,Centroscymnus_coelolepis-27
1950,180,27,Cephalopoda,"Squids, cuttlefishes, octopuses",290002,281.426019428462,Cephalopoda-27
1950,180,27,Cerastoderma edule,Common cockle,690605,156.527236147721,Cerastoderma_edule-27
1950,180,27,Chaceon affinis,Deepsea red crab,690753,39.4121023879758,Chaceon_affinis-27
1950,180,27,Chelidonichthys cuculus,Red gurnard,600044,267.741504067376,Chelidonichthys_cuculus-27
1950,180,27,Chelidonichthys lucerna,Tub gurnard,601366,615.472097274699,Chelidonichthys_lucerna-27
1950,180,27,Clupea harengus,Atlantic herring,600024,791232.190925814,Clupea_harengus-27
1950,180,27,Clupeidae,"Herrings, sardines, menhadens",400043,675.167521981115,Clupeidae-27
1950,180,27,Conger conger,European conger,600301,3023.21674187521,Conger_conger-27
1950,180,27,Congridae,"Conger, garden eels",400062,202.2420012696,Congridae-27
1950,180,27,Crangon crangon,Common shrimp,690091,9143.39254215489,Crangon_crangon-27
1950,180,27,Crangonidae,Brown shrimps,490044,290.706724228613,Crangonidae-27
1950,180,27,Cyclopterus lumpus,Lumpfish,600062,0.00361847573801591,Cyclopterus_lumpus-27
1950,180,27,Decapoda,"Crabs, lobsters, shrimps",390013,292.963743865952,Decapoda-27
1950,180,27,Dicentrarchus labrax,European seabass,600063,3176.82508542614,Dicentrarchus_labrax-27
1950,180,27,Dipturus batis,Blue skate,602058,24.8757747424444,Dipturus_batis-27
1950,180,27,Dipturus nidarosiensis,Norwegian skate,608900,1.61305273813533,Dipturus_nidarosiensis-27
1950,180,27,Elasmobranchii,"Sharks, rays, skates",200004,1998.41735714225,Elasmobranchii-27
1950,180,27,Engraulis encrasicolus,European anchovy,600066,179.539328843327,Engraulis_encrasicolus-27
