stock_name,common
Glyptocephalus_cynoglossus,Witch flounder
Lepidorhombus_whiffiagonis,Megrim
Micromesistius_poutassou,Blue whiting
Molva_molva,Ling
Pollachius_pollachius,Pollack
Anguilla_anguilla,European eel
Chelidonichthys_cuculus,Red gurnard
Brosme_brosme,Tusk
Capros_aper,Boarfish
Cyclopterus_lumpus,Lumpfish
Dicentrarchus_labrax,European seabass
Eutrigla_gurnardus,Grey gurnard
Gadus_morhua,Atlantic cod
Istiophorus_albicans,Atlantic sailfish
Lamna_nasus,Porbeagle
Cetorhinus_maximus,Basking shark
Sarda_sarda,Atlantic bonito
Scomber_scombrus,Atlantic mackerel
Squalus_acanthias,Piked dogfish
Thunnus_albacares,Yellowfin tuna
Thunnus_thynnus,Atlantic bluefin tuna
Xiphias_gladius,Swordfish
Salmo_salar,Atlantic salmon
Salmo_trutta,Sea trout
Esox_lucius,Northern pike
Rutilus_rutilus,Roach
Conger_conger,European conger
Macrourus_berglax,Roughhead grenadier
Coryphaenoides_rupestris,Roundnose grenadier
Perca_fluviatilis,European perch
Sander_lucioperca,Pike-perch
Brama_brama,Atlantic pomfret
Zoarces_viviparus,Eelpout
Sebastes_norvegicus,Golden redfish
Reinhardtius_hippoglossoides,Greenland halibut
Solea_solea,Common sole
Scophthalmus_rhombus,Brill
Lepidopus_caudatus,Silver scabbardfish
Aphanopus_carbo,Black scabbardfish
Limanda_limanda,Common dab
Lophius_piscatorius,Angler
Mullus_barbatus_barbatus,NA
Scyliorhinus_canicula,Smallspotted catshark
Pagellus_bogaraveo,Blackspot seabream
Prionace_glauca,Blue shark
Osmerus_eperlanus,European smelt
Phycis_blennoides,Greater forkbeard
Platichthys_flesus,European flounder
Pleuronectes_platessa,European plaice
Pollachius_virens,Saithe
Scophthalmus_maximus,Turbot
Sardina_pilchardus,European pilchard
Spondyliosoma_cantharus,Black seabream
Sprattus_sprattus,European sprat
Trachinus_draco,Greater weever
Trachurus_trachurus,Atlantic horse mackerel
Chelidonichthys_lucerna,Tub gurnard
Trisopterus_luscus,Pouting
Zeus_faber,John dory
Hippoglossus_hippoglossus,Atlantic halibut
Microstomus_kitt,Lemon sole
Molva_dypterygia,Blue ling
Raja_clavata,Thornback ray
Anarhichas_lupus,Atlantic wolffish
Argentina_silus,Greater argentine
Anarhichas_minor,Spotted wolffish
Hippoglossoides_platessoides,American plaice
Leucoraja_naevus,Cuckoo ray
Mytilus_edulis,Blue mussel
Sepia_officinalis,Common cuttlefish
Octopus_vulgaris,Common octopus
Littorina_littorea,Common periwinkle
Crangon_crangon,Common shrimp
Cancer_pagurus,Edible crab
Homarus_gammarus,European lobster
Pecten_maximus,Great Atlantic scallop
Carcinus_maenas,Green crab
Pandalus_borealis,Northern prawn
Nephrops_norvegicus,Norway lobster
Aequipecten_opercularis,Queen scallop
Asterias_rubens,Red starfish
Chamelea_gallina,Striped venus
Necora_puber,Velvet swimcrab
Buccinum_undatum,Whelk
Cerastoderma_edule,Common cockle
Glycymeris_glycymeris,Dog cockle
Venus_verrucosa,Warty venus
