"region_id","scenario_year","data_year","status"
1,2000,2000,90
1,2001,2001,90
1,2002,2002,90
1,2003,2003,92.4
1,2004,2004,92.4
1,2005,2005,92.4
1,2006,2006,92.4
1,2007,2007,92.4
1,2008,2008,95.2
1,2009,2009,95.3846153846154
1,2010,2010,95.5555555555556
1,2011,2011,96
1,2012,2012,96
1,2013,2013,96
1,2014,2014,96.25
1,2015,2015,93.7142857142857
1,2016,2016,93.7142857142857
1,2017,2017,92.5714285714286
1,2018,2018,92.5714285714286
2,2000,2000,90
2,2001,2001,90
2,2002,2002,90
2,2003,2003,92.4
2,2004,2004,92.4
2,2005,2005,92.4
2,2006,2006,92.4
2,2007,2007,92.4
2,2008,2008,95.2
2,2009,2009,95.3846153846154
2,2010,2010,95.5555555555556
2,2011,2011,96
2,2012,2012,96
2,2013,2013,96
2,2014,2014,96.25
2,2015,2015,93.7142857142857
2,2016,2016,93.7142857142857
2,2017,2017,92.5714285714286
2,2018,2018,92.5714285714286
3,2000,2000,90
3,2001,2001,90
3,2002,2002,90
3,2003,2003,92.4
3,2004,2004,92.4
3,2005,2005,92.4
3,2006,2006,92.4
3,2007,2007,92.4
3,2008,2008,95.2
3,2009,2009,95.3846153846154
3,2010,2010,95.5555555555556
3,2011,2011,96
3,2012,2012,96
3,2013,2013,96
3,2014,2014,96.25
3,2015,2015,93.7142857142857
3,2016,2016,93.7142857142857
3,2017,2017,92.5714285714286
3,2018,2018,92.5714285714286
4,2000,2000,90
4,2001,2001,90
4,2002,2002,90
4,2003,2003,92.4
4,2004,2004,92.4
4,2005,2005,92.4
4,2006,2006,92.4
4,2007,2007,92.4
4,2008,2008,95.2
4,2009,2009,95.3846153846154
4,2010,2010,95.5555555555556
4,2011,2011,96
4,2012,2012,96
4,2013,2013,96
4,2014,2014,96.25
4,2015,2015,93.7142857142857
4,2016,2016,93.7142857142857
4,2017,2017,92.5714285714286
4,2018,2018,92.5714285714286
5,2000,2000,90
5,2001,2001,90
5,2002,2002,90
5,2003,2003,92.4
5,2004,2004,92.4
5,2005,2005,92.4
5,2006,2006,92.4
5,2007,2007,92.4
5,2008,2008,95.2
5,2009,2009,95.3846153846154
5,2010,2010,95.5555555555556
5,2011,2011,96
5,2012,2012,96
5,2013,2013,96
5,2014,2014,96.25
5,2015,2015,93.7142857142857
5,2016,2016,93.7142857142857
5,2017,2017,92.5714285714286
5,2018,2018,92.5714285714286
6,2000,2000,90
6,2001,2001,90
6,2002,2002,90
6,2003,2003,92.4
6,2004,2004,92.4
6,2005,2005,92.4
6,2006,2006,92.4
6,2007,2007,92.4
6,2008,2008,95.2
6,2009,2009,95.3846153846154
6,2010,2010,95.5555555555556
6,2011,2011,96
6,2012,2012,96
6,2013,2013,96
6,2014,2014,96.25
6,2015,2015,93.7142857142857
6,2016,2016,93.7142857142857
6,2017,2017,92.5714285714286
6,2018,2018,92.5714285714286
