"rgn_id","year","health","habitat","status","data_year","region_id"
1,2003,0.793814432989691,"saltmarsh",79.3814432989691,2003,1
1,2004,0.821052631578947,"saltmarsh",82.1052631578947,2004,1
1,2005,0.824742268041237,"saltmarsh",82.4742268041237,2005,1
1,2006,0.715686274509804,"saltmarsh",71.5686274509804,2006,1
1,2007,0.725490196078431,"saltmarsh",72.5490196078431,2007,1
1,2008,0.725490196078431,"saltmarsh",72.5490196078431,2008,1
1,2009,0.725490196078431,"saltmarsh",72.5490196078431,2009,1
1,2010,0.725490196078431,"saltmarsh",72.5490196078431,2010,1
1,2011,0.715686274509804,"saltmarsh",71.5686274509804,2011,1
1,2012,0.735294117647059,"saltmarsh",73.5294117647059,2012,1
1,2013,0.754901960784314,"saltmarsh",75.4901960784314,2013,1
1,2014,0.754901960784314,"saltmarsh",75.4901960784314,2014,1
1,2015,0.803921568627451,"saltmarsh",80.3921568627451,2015,1
1,2016,0.803921568627451,"saltmarsh",80.3921568627451,2016,1
1,2017,0.803921568627451,"saltmarsh",80.3921568627451,2017,1
2,2003,1,"saltmarsh",100,2003,2
2,2004,1,"saltmarsh",100,2004,2
2,2005,1,"saltmarsh",100,2005,2
2,2006,0.75,"saltmarsh",75,2006,2
2,2007,0.8,"saltmarsh",80,2007,2
2,2008,0.8,"saltmarsh",80,2008,2
2,2009,0.8,"saltmarsh",80,2009,2
2,2010,0.8,"saltmarsh",80,2010,2
2,2011,0.8,"saltmarsh",80,2011,2
2,2012,0.8,"saltmarsh",80,2012,2
2,2013,0.8,"saltmarsh",80,2013,2
2,2014,0.8,"saltmarsh",80,2014,2
2,2015,0.8,"saltmarsh",80,2015,2
2,2016,0.8,"saltmarsh",80,2016,2
2,2017,0.8,"saltmarsh",80,2017,2
3,2003,1,"saltmarsh",100,2003,3
3,2004,1,"saltmarsh",100,2004,3
3,2005,1,"saltmarsh",100,2005,3
3,2006,1,"saltmarsh",100,2006,3
3,2007,1,"saltmarsh",100,2007,3
3,2008,1,"saltmarsh",100,2008,3
3,2009,1,"saltmarsh",100,2009,3
3,2010,0.692307692307692,"saltmarsh",69.2307692307692,2010,3
3,2011,0.833333333333333,"saltmarsh",83.3333333333333,2011,3
3,2012,0.833333333333333,"saltmarsh",83.3333333333333,2012,3
3,2013,0.833333333333333,"saltmarsh",83.3333333333333,2013,3
3,2014,0.958333333333333,"saltmarsh",95.8333333333333,2014,3
3,2015,0.958333333333333,"saltmarsh",95.8333333333333,2015,3
3,2016,0.958333333333333,"saltmarsh",95.8333333333333,2016,3
3,2017,0.916666666666667,"saltmarsh",91.6666666666667,2017,3
4,2003,1,"saltmarsh",100,2003,4
4,2004,1,"saltmarsh",100,2004,4
4,2005,1,"saltmarsh",100,2005,4
4,2006,1,"saltmarsh",100,2006,4
4,2007,1,"saltmarsh",100,2007,4
4,2008,1,"saltmarsh",100,2008,4
4,2009,1,"saltmarsh",100,2009,4
4,2010,1,"saltmarsh",100,2010,4
4,2011,1,"saltmarsh",100,2011,4
4,2012,1,"saltmarsh",100,2012,4
4,2013,1,"saltmarsh",100,2013,4
4,2014,1,"saltmarsh",100,2014,4
4,2015,1,"saltmarsh",100,2015,4
4,2016,1,"saltmarsh",100,2016,4
4,2017,1,"saltmarsh",100,2017,4
5,2003,0.933333333333333,"saltmarsh",93.3333333333333,2003,5
5,2004,0.933333333333333,"saltmarsh",93.3333333333333,2004,5
5,2005,0.933333333333333,"saltmarsh",93.3333333333333,2005,5
5,2006,0.933333333333333,"saltmarsh",93.3333333333333,2006,5
5,2007,0.933333333333333,"saltmarsh",93.3333333333333,2007,5
5,2008,0.933333333333333,"saltmarsh",93.3333333333333,2008,5
5,2009,0.933333333333333,"saltmarsh",93.3333333333333,2009,5
5,2010,0.933333333333333,"saltmarsh",93.3333333333333,2010,5
5,2011,0.9,"saltmarsh",90,2011,5
5,2012,0.95,"saltmarsh",95,2012,5
5,2013,0.95,"saltmarsh",95,2013,5
5,2014,0.95,"saltmarsh",95,2014,5
5,2015,0.95,"saltmarsh",95,2015,5
5,2016,0.95,"saltmarsh",95,2016,5
5,2017,0.8,"saltmarsh",80,2017,5
6,2003,0.821428571428571,"saltmarsh",82.1428571428571,2003,6
6,2004,0.821428571428571,"saltmarsh",82.1428571428571,2004,6
6,2005,0.758620689655172,"saltmarsh",75.8620689655172,2005,6
6,2006,0.758620689655172,"saltmarsh",75.8620689655172,2006,6
6,2007,0.724137931034483,"saltmarsh",72.4137931034483,2007,6
6,2008,0.733333333333333,"saltmarsh",73.3333333333333,2008,6
6,2009,0.833333333333333,"saltmarsh",83.3333333333333,2009,6
6,2010,0.9,"saltmarsh",90,2010,6
6,2011,0.9,"saltmarsh",90,2011,6
6,2012,0.9,"saltmarsh",90,2012,6
6,2013,0.9,"saltmarsh",90,2013,6
6,2014,0.9,"saltmarsh",90,2014,6
6,2015,0.9,"saltmarsh",90,2015,6
6,2016,0.9,"saltmarsh",90,2016,6
6,2017,0.9,"saltmarsh",90,2017,6
