"rgn_id","habitat","boolean","layer"
1,"saltmarsh",1,"element_wts_hab_pres_abs"
2,"saltmarsh",1,"element_wts_hab_pres_abs"
3,"saltmarsh",1,"element_wts_hab_pres_abs"
4,"saltmarsh",1,"element_wts_hab_pres_abs"
5,"saltmarsh",1,"element_wts_hab_pres_abs"
6,"saltmarsh",1,"element_wts_hab_pres_abs"
1,"seaice_edge",1,"element_wts_hab_pres_abs"
2,"seaice_edge",1,"element_wts_hab_pres_abs"
3,"seaice_edge",1,"element_wts_hab_pres_abs"
4,"seaice_edge",1,"element_wts_hab_pres_abs"
5,"seaice_edge",1,"element_wts_hab_pres_abs"
6,"seaice_edge",1,"element_wts_hab_pres_abs"
1,"soft_bottom",1,"element_wts_hab_pres_abs"
2,"soft_bottom",1,"element_wts_hab_pres_abs"
3,"soft_bottom",1,"element_wts_hab_pres_abs"
4,"soft_bottom",1,"element_wts_hab_pres_abs"
5,"soft_bottom",1,"element_wts_hab_pres_abs"
6,"soft_bottom",1,"element_wts_hab_pres_abs"
