"rgn_id","habitat","extent_rank","layer"
3,"seagrass",125.82883,"element_wts_cs_km2_x_storage"
4,"seagrass",262.33561,"element_wts_cs_km2_x_storage"
5,"seagrass",19.150424,"element_wts_cs_km2_x_storage"
6,"seagrass",248.08368,"element_wts_cs_km2_x_storage"
1,"saltmarsh",12106.3218906,"element_wts_cs_km2_x_storage"
2,"saltmarsh",2226.8336853,"element_wts_cs_km2_x_storage"
3,"saltmarsh",4371.5433552,"element_wts_cs_km2_x_storage"
4,"saltmarsh",70.79750874,"element_wts_cs_km2_x_storage"
5,"saltmarsh",3085.2765636,"element_wts_cs_km2_x_storage"
6,"saltmarsh",2473.2924447,"element_wts_cs_km2_x_storage"
